Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category
SS01 - System - Search  - Search Success,N6-77,10296,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 4:18 PM,05/Jan/23 4:18 PM,05/Jan/23 4:30 PM,,,0,Search,,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,N6-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hiển thị thông báo ""Sản phẩm tìm kiếm thành công""",,,,,,,,,,N6-3,,,"Phải hiển thị thông báo ""Sản phẩm tìm kiếm thành công""",,,,,0|i001qv:,,BAN Sprint 3,,,,,,,,System,1) Nhập đúng từ khóa sản phẩm vào thanh Tìm kiếm,Pass,,,,To Do
FPS01 - System - Forgot Password - Password reset successfully,N6-76,10295,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 4:13 PM,05/Jan/23 4:20 PM,05/Jan/23 4:30 PM,,,0,ForgotPassword,Password reset successfully,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gửi email đặt lại mật khẩu ,,,,,,,,,,N6-5,,,gửi email đặt lại mật khẩu ,,,,,0|i001qn:,,BAN Sprint 3,,,,,,,,System,"1) Nhập Email đăng ký tài khoản
2) Nhấn submit",Pass,,,,To Do
RS01 - System - Register - Sign Up Success,N6-75,10294,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 4:11 PM,05/Jan/23 4:12 PM,05/Jan/23 4:30 PM,,,0,registration,,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,N6-61,N6-58,N6-59,N6-62,,,,,,,,,,,,,,,,,,,,,,,,,"Hiển thị thông báo ""Đăng ký thành công""",,,,,,,,,,N6-2,,,"Phải hiển thị thông báo ""Đăng ký thành công""",,,,,0|i001qf:,,BAN Sprint 3,,,,,,,,System,"1) Nhập Họ, đệm
2) Nhập Tên
3) Nhập Email
4) Nhập Mật khẩu
5) Nhấn Tạo mới",Pass,,,,To Do
CS01 - System - Cart - Successful ordering,N6-74,10293,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 4:10 PM,05/Jan/23 4:19 PM,05/Jan/23 4:30 PM,,,0,Cart,Successful ordering,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thông báo đặt hàng thành công ,,,,,,,,,,N6-4,,,Thông báo đặt hàng thành công ,,,,,0|i001q7:,,BAN Sprint 3,,,,,,,,System,"1) Nhập Họ tên
2) Nhập Email
3) Nhập sđt
4) Nhập địa chỉ
5) Chọn phương thức thanh toán
6) Nhấn submit",Pass,,,,To Do
LS01 - System - Login - Login successful,N6-73,10292,Story,To Do,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,,,Khang Duy,63918baa5fce844d606d502d,Khang Duy,63918baa5fce844d606d502d,05/Jan/23 3:59 PM,05/Jan/23 4:00 PM,05/Jan/23 4:30 PM,,,0,Login,,,Khang Duy,63918baa5fce844d606d502d,,,,,,,,,N6-60,N6-63,,,,,,,,,,,,,,,,,,,,,,,,,,," Hiển thị thông báo ""Đăng nhập thành công""",,,,,,,,,,N6-1,,,"Phải hiển thị thông báo ""Đăng nhập thành công""",,,,,0|i001pz:,,BAN Sprint 3,,,,,,,,System,"1) Nhập Email và mật khẩu hợp lệ
2) Nhấn nút Đăng nhập
",Pass,,,,To Do
CI07- Integration - Cart - Verify Please enter your ward,N6-72,10291,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:56 PM,05/Jan/23 4:06 PM,05/Jan/23 4:30 PM,,,0,Cart,Verify Please enter your ward,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-50,N6-8,N6-45,N6-55,N6-37,N6-21,N6-43,N6-36,N6-18,N6-28,N6-40,N6-16,N6-47,N6-52,N6-32,N6-13,N6-31,N6-25,N6-49,,,,,,,,,, hiển thị,,,,,,,,,,N6-4,,,hiển thị ,,,,,0|i001pr:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập Họ tên
2) Nhập Email
3) Nhập sđt
4) Nhập địa chỉ
5) Chọn phương thức thanh toán
6) Nhấn submit",Pass,,,,To Do
CI06- Integration - Cart - Verify Please enter your district,N6-71,10290,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:54 PM,05/Jan/23 4:06 PM,05/Jan/23 4:30 PM,,,0,Cart,Verify Please enter your district,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-18,N6-21,N6-45,N6-8,N6-36,N6-31,N6-52,N6-43,N6-55,N6-49,N6-47,N6-13,N6-50,N6-40,N6-32,N6-16,N6-25,N6-28,N6-37,,,,,,,,,,hiển thị,,,,,,,,,,N6-4,,,hiển thị,,,,,0|i001pj:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập Họ tên
2) Nhập Email
3) Nhập sđt
4) Nhập địa chỉ
5) Chọn phương thức thanh toán
6) Nhấn submit",Pass,,,,To Do
CI05- Integration - Cart - Verify Please enter your province,N6-70,10289,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:53 PM,05/Jan/23 4:06 PM,05/Jan/23 4:30 PM,,,0,Cart,Verify Please enter your province,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-13,N6-25,N6-32,N6-21,N6-28,N6-55,N6-50,N6-16,N6-31,N6-8,N6-45,N6-18,N6-43,N6-37,N6-36,N6-40,N6-47,N6-52,N6-49,,,,,,,,,,Hiển thị,,,,,,,,,,N6-4,,,Hiển thị,,,,,0|i001pb:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập Họ tên
2) Nhập Email
3) Nhập sđt
4) Nhập địa chỉ
5) Chọn phương thức thanh toán
6) Nhấn submit",Pass,,,,To Do
CI04- Integration - Cart - Verify Address can't be blank,N6-69,10288,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:52 PM,05/Jan/23 4:05 PM,05/Jan/23 4:30 PM,,,0,Cart,Verify Address can't be blank,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-32,N6-21,N6-8,N6-49,N6-36,N6-52,N6-18,N6-16,N6-55,N6-25,N6-47,N6-40,N6-28,N6-31,N6-43,N6-13,N6-37,N6-50,N6-45,,,,,,,,,,Hiển thị,,,,,,,,,,N6-4,,,Hiển thị,,,,,0|i001p3:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập Họ tên
2) Nhập Email
3) Nhập sđt
4) Nhập địa chỉ
5) Chọn phương thức thanh toán
6) Nhấn submit",Pass,,,,To Do
CI03 - Integration - Cart - Verify Phone number can't be blank,N6-68,10287,Bug,Open,N6,N6_CD21LM1,software,Huy Tran,629c7d86954f50006fc9d8b5,,Medium,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,05/Jan/23 3:51 PM,05/Jan/23 4:05 PM,05/Jan/23 4:30 PM,,,0,Cart,Verify Phone number can't be blank,,Trung Thịnh Nguyễn,63918a3d3e79f12e5725b36a,,,,,,,,,N6-18,N6-21,N6-28,N6-16,N6-45,N6-37,N6-50,N6-43,N6-49,N6-25,N6-40,N6-31,N6-52,N6-13,N6-32,N6-36,N6-47,N6-55,N6-8,,,,,,,,,,Hiển thị,,,,,,,,,,N6-4,,,Hiển thị Phone number can't be blank,,,,,0|i001ov:,,BAN Sprint 2,,,,,,,,Integratiom,"1) Nhập Họ tên
2) Nhập Email
3) Nhập sđt
4) Nhập địa chỉ
5) Chọn phương thức thanh toán
6) Nhấn submit",Pass,,,,To Do
